Country_Name;EPI;CO2
Albania;65,850;1,499
Algeria;48,560;3,332
Angola;47,570;1,556
Australia;56,610;16,934
Austria;68,920;7,974
Azerbaijan;43,110;5,051
Bangladesh;42,550;0,372
Belarus;53,880;6,557
Belgium;63,020;9,977
Benin;50,380;0,546
Bolivia;54,570;1,522
Bosnia and Herzegovina;36,760;8,093
Botswana;53,740;2,657
Brazil;60,900;2,150
Bulgaria;56,280;6,041
Cambodia;55,290;0,291
Cameroon;42,970;0,351
Canada;58,410;14,678
Chile;55,340;4,213
China;42,240;6,195
Colombia;62,330;1,629
Congo, Dem. Rep.;47,490;0,049
Congo, Rep.;47,180;0,493
Costa Rica;69,030;1,664
Cote d'Ivoire;53,550;0,306
Croatia;64,160;4,727
Cyprus;57,150;6,984
Czech Republic;64,790;10,669
Denmark;63,610;8,346
Dominican Republic;52,440;2,093
Ecuador;60,550;2,176
Egypt, Arab Rep.;55,180;2,623
El Salvador;52,080;1,005
Estonia;56,090;13,773
Ethiopia;52,710;0,075
Finland;64,440;11,531
Georgia;56,840;1,402
Germany;66,910;9,115
Ghana;47,500;0,371
Greece;60,040;7,775
Haiti;41,150;0,214
Honduras;52,540;1,064
Hungary;57,120;5,058
Iceland;66,280;6,169
Iran, Islamic Rep.;42,730;7,677
Iraq;25,320;3,703
Ireland;58,690;8,772
Israel;54,640;9,268
Jamaica;54,360;2,660
Japan;63,360;9,186
Jordan;42,160;3,444
Kazakhstan;32,940;15,239
Kenya;49,280;0,304
Kuwait;35,540;31,320
Kyrgyz Republic;46,330;1,175
Lithuania;65,500;4,378
Luxembourg;69,200;21,360
Macedonia, FYR;46,960;5,172
Malaysia;62,510;7,667
Malta;48,510;6,246
Mexico;49,110;3,764
Moldova;45,210;1,363
Morocco;45,760;1,599
Mozambique;47,820;0,120
Nepal;57,970;0,140
Netherlands;65,650;10,958
Nicaragua;59,230;0,781
Nigeria;40,140;0,494
Norway;69,920;11,696
Pakistan;39,560;0,932
Panama;57,940;2,619
Paraguay;52,400;0,786
Peru;50,290;1,968
Philippines;57,400;0,873
Portugal;57,640;4,952
Qatar;46,590;40,310
Russian Federation;45,430;12,226
Saudi Arabia;49,970;17,040
Senegal;46,730;0,545
Serbia;46,140;6,304
Singapore;56,360;2,663
Slovak Republic;66,620;6,695
Slovenia;62,250;7,482
South Africa;34,550;9,041
Spain;60,310;5,790
Sri Lanka;55,720;0,615
Sweden;68,820;5,600
Tajikistan;38,780;0,375
Tanzania;54,260;0,152
Thailand;59,980;4,447
Togo;48,660;0,244
Trinidad and Tobago;47,040;38,161
Tunisia;46,660;2,453
Turkey;44,800;4,131
Turkmenistan;31,750;10,522
Ukraine;46,310;6,645
United Arab Emirates;50,910;19,854
United Kingdom;68,820;7,863
United States;56,590;17,564
Uruguay;57,060;1,971
Uzbekistan;32,240;3,657
Vietnam;50,640;1,728
Yemen, Rep.;35,490;0,960