state;year;manufacturing_output;manufacturing_output1;logmanufacturing_output1
Andhra Pradesh;1960;318600000;9.00550607834915;2.1978361767544
Andhra Pradesh;1961;365700000;10.1876579407347;2.32117698183181
Andhra Pradesh;1962;369700000;10.1138734056013;2.31390808583053
Andhra Pradesh;1963;467400000;12.5473680593511;2.52951092719787
Andhra Pradesh;1964;550100000;14.4907722414651;2.67351204969958
Andhra Pradesh;1965;592500000;15.3148975569055;2.72882605119319
Andhra Pradesh;1966;653100000;16.5642276595971;2.80724540982922
Andhra Pradesh;1967;578100000;14.3863315068673;2.6662785548935
Andhra Pradesh;1968;710200000;17.3409569082837;2.85307115485189
Andhra Pradesh;1969;921900000;22.0856987398574;3.09493028321032
Andhra Pradesh;1970;1038200000;24.402414668526;3.1946820892276
Andhra Pradesh;1971;1135100000;26.175794988019;3.26483512833049
Andhra Pradesh;1972;1327200000;29.9954274601539;3.40104495205048
Andhra Pradesh;1973;1705300000;37.7611677552001;3.63128126651945
Andhra Pradesh;1974;2522100000;54.7133105828702;4.00210701772132
Andhra Pradesh;1975;2801500000;59.5342781011355;4.08655224920832
Andhra Pradesh;1976;3024400000;62.9536030446864;4.14239799546378
Andhra Pradesh;1977;3322800000;67.7405643212234;4.2156851780491
Andhra Pradesh;1978;3858900000;77.0423284595827;4.34435499106718
Andhra Pradesh;1979;4521600000;88.39679463088;4.48183570915452
Andhra Pradesh;1980;4286100000;82.0430957005214;4.4072446665308
Andhra Pradesh;1981;5696200000;106.747194002278;4.67046336607031
Andhra Pradesh;1982;6687000000;122.668428503513;4.80948501219805
Andhra Pradesh;1983;7230600000;129.829359124965;4.8662209660969
Andhra Pradesh;1984;8495500000;149.298662700131;5.00594874737262
Andhra Pradesh;1985;9947800000;171.093481317379;5.1422100815013
Andhra Pradesh;1986;10626700000;178.860733859025;5.18660747988974
Andhra Pradesh;1987;12434500000;204.797962762198;5.32202394566567
Andhra Pradesh;1988;16338100000;263.299288461315;5.5732913641109
Andhra Pradesh;1989;22151300000;349.275496915755;5.85586100024187
Andhra Pradesh;1990;29251000000;451.232184265509;6.11198202801564
Andhra Pradesh;1991;34685400000;523.438675214552;6.26041987963698
Andhra Pradesh;1992;34957300000;519.955116197228;6.25374249284479
Assam;1960;310000000;29.6494696235923;3.38944423737792
Assam;1961;NA;NA;NA
Assam;1962;NA;NA;NA
Assam;1963;NA;NA;NA
Assam;1964;NA;NA;NA
Assam;1965;390000000;32.09367798981;3.46865906338135
Assam;1966;NA;NA;NA
Assam;1967;NA;NA;NA
Assam;1968;481000000;36.1771588700753;3.58842794924619
Assam;1969;512000000;37.3685586494419;3.6208296730303
Assam;1970;422000000;29.8868315999561;3.39741796866841
Assam;1971;424000000;29.1372107676562;3.37201607784864
Assam;1972;482000000;32.3870469819808;3.47775855835639
Assam;1973;597000000;39.2828672413458;3.67078847576488
Assam;1974;1094000000;70.492851999033;4.25551131459326
Assam;1975;1168000000;73.6993794739404;4.29999437953896
Assam;1976;1370000000;84.6504040264922;4.43852988147375
Assam;1977;1613000000;97.5943152551713;4.58081924638636
Assam;1978;1375000000;81.4645561639164;4.40016803195885
Assam;1979;1339000000;77.681298520354;4.3526145401198
Assam;1980;955400000;54.2731499354562;3.99402962831938
Assam;1981;1357500000;75.5087957873935;4.3242491499646
Assam;1982;1372100000;74.6947754050426;4.31341014866256
Assam;1983;2316100000;123.38458935482;4.81530622000023
Assam;1984;3726300000;194.255767852706;5.26917568174235
Assam;1985;4928200000;251.402860815802;5.5270566756292
Assam;1986;5642100000;281.644708053628;5.64064637607714
Assam;1987;5987200000;292.453420032512;5.67830540623855
Assam;1988;4336400000;207.26567421568;5.33400142066435
Assam;1989;8065900000;377.23246188717;5.9328616072026
Assam;1990;10508300000;480.883284337235;6.17562458855543
Assam;1991;7905300000;353.972450033121;5.86921908534008
Assam;1992;7193200000;316.365451267177;5.75689803671776
Bihar;1960;690000000;15.1745321911646;2.71961850887003
Bihar;1961;710000000;15.3326153926156;2.72998228450407
Bihar;1962;900000000;19.0691823579552;2.94807354286488
Bihar;1963;910000000;18.9139289447337;2.93989863183115
Bihar;1964;1060000000;21.6114914416455;3.07322518440963
Bihar;1965;1220000000;24.3985995203875;3.19452573394647
Bihar;1966;1430000000;28.0514042964551;3.33403869476029
Bihar;1967;1270000000;24.4356001681631;3.19604109224422
Bihar;1968;1290000000;24.3442664251615;3.19229635671657
Bihar;1969;1490000000;27.5783182593454;3.31702989368748
Bihar;1970;1618900000;29.3875040752947;3.38056955254061
Bihar;1971;1833600000;32.6433555318595;3.48564132909682
Bihar;1972;1786100000;31.1373165947376;3.43840699039793
Bihar;1973;1883600000;32.1437012526589;3.47021651399812
Bihar;1974;3382300000;56.4970807697955;4.03418896902634
Bihar;1975;4363500000;71.3394686202798;4.26744973135072
Bihar;1976;3928100000;62.8539203270676;4.14081330901884
Bihar;1977;3625500000;56.7735522156953;4.03907058728243
Bihar;1978;4846500000;74.2689985890959;4.30769361820665
Bihar;1979;4842100000;72.6083524572366;4.28507996283362
Bihar;1980;2192000000;32.1616769849602;3.47077558800599
Bihar;1981;6357600000;91.2657568227527;4.51377565506517
Bihar;1982;5695800000;80.046309315365;4.38260533363739
Bihar;1983;7940900000;109.265007788033;4.69377619559867
Bihar;1984;10429500000;140.506978331384;4.94525715537943
Bihar;1985;11005100000;145.160909504966;4.97784284785959
Bihar;1986;9972400000;128.78785041527;4.85816648014699
Bihar;1987;13734300000;173.65990561827;5.15709882114663
Bihar;1988;19664300000;243.43750700225;5.49486026482912
Bihar;1989;19996100000;242.36424924607;5.49044175670932
Bihar;1990;19941100000;236.638185813861;5.46653233249404
Bihar;1991;22970600000;266.881622560702;5.58680519889074
Bihar;1992;17618900000;199.946231305931;5.29804848693281
Gujarat;1960;1011700000;50.4158598318501;3.92030580477958
Gujarat;1961;1109700000;53.9961375025728;3.98891251627591
Gujarat;1962;1043500000;49.5042459319702;3.9020584422995
Gujarat;1963;1191500000;55.0930890563254;4.0090242828174
Gujarat;1964;1295000000;58.3598686718186;4.06662847334051
Gujarat;1965;1586900000;69.6985836021532;4.24417999621356
Gujarat;1966;1626400000;69.6177206377504;4.24301914179778
Gujarat;1967;1866400000;77.8580330684725;4.35488707944955
Gujarat;1968;1849300000;75.1796864836737;4.31988106791816
Gujarat;1969;2249800000;89.1291019472439;4.49008590232887
Gujarat;1970;2647600000;102.211199314618;4.62704125410071
Gujarat;1971;2600800000;97.8388920580611;4.58332216729662
Gujarat;1972;3424200000;125.695358676306;4.83386119109832
Gujarat;1973;4336600000;155.370563415524;5.04581299537991
Gujarat;1974;5584600000;195.277423599622;5.27442123263236
Gujarat;1975;5323700000;181.675064777431;5.20221973305929
Gujarat;1976;6374700000;212.297205830812;5.35798720720391
Gujarat;1977;7691000000;249.948846770925;5.52125628400987
Gujarat;1978;8178800000;259.371667790141;5.55826204382828
Gujarat;1979;9452000000;292.483906268006;5.67840964385222
Gujarat;1980;9895900000;298.785534431154;5.69972603987508
Gujarat;1981;10887300000;320.723562112783;5.77057957488514
Gujarat;1982;12943100000;373.760985984432;5.92361651821118
Gujarat;1983;19497200000;552.411395362081;6.31429305014583
Gujarat;1984;18029300000;501.166236595784;6.21693785562067
Gujarat;1985;22090400000;602.416341184112;6.40094880291741
Gujarat;1986;25154800000;672.948460646581;6.51166874520639
Gujarat;1987;26610300000;698.322292390152;6.54868073314331
Gujarat;1988;33451900000;861.091998271221;6.75820134920885
Gujarat;1989;35742800000;902.437349395157;6.80509926884469
Gujarat;1990;43085300000;1066.92638885683;6.97253726003422
Gujarat;1991;36746600000;892.434346576827;6.79395294968957
Gujarat;1992;67464500000;1605.9941626268;7.38149825977208
Haryana;1966;33800000;3.89063225536729;1.35857167793666
Haryana;1967;386700000;43.2859244069034;3.76782751072717
Haryana;1968;438900000;47.7756458284372;3.86651600816029
Haryana;1969;468400000;49.5822032493492;3.90363196388813
Haryana;1970;584500000;60.1673320929976;4.09712954876108
Haryana;1971;793800000;79.4610025459954;4.37526636729648
Haryana;1972;824200000;80.4431890717508;4.38755120946607
Haryana;1973;898200000;85.5128054997815;4.44866613665529
Haryana;1974;1161500000;107.853028311536;4.68076945136109
Haryana;1975;1277300000;115.668221919622;4.75072593717932
Haryana;1976;1570400000;138.672911539504;4.93211800571976
Haryana;1977;1812300000;156.035320135436;5.05008239274699
Haryana;1978;2167900000;181.96762069215;5.20382876296435
Haryana;1979;2541500000;207.949011540577;5.33729291282623
Haryana;1980;3048000000;243.07621563827;5.4933750387663
Haryana;1981;4010700000;311.714292598117;5.74208703942149
Haryana;1982;4930000000;373.952685958782;5.9241292812801
Haryana;1983;5361200000;396.989949516551;5.98391096428751
Haryana;1984;5940000000;429.372148768342;6.06232402253149
Haryana;1985;6612500000;466.578776984306;6.14542687416434
Haryana;1986;7048300000;485.441941707158;6.18505969604332
Haryana;1987;8276700000;556.397767632691;6.32148344787857
Haryana;1988;11796200000;773.975140046052;6.65153975427036
Haryana;1989;11948400000;765.125580644789;6.64003997805974
Haryana;1990;14767900000;922.913283498095;6.82753527938292
Haryana;1991;15421400000;940.515995126837;6.84642865564255
Haryana;1992;14999800000;892.829188427684;6.794395284224
Jammu & Kashmir;1960;10700000;NA;NA
Jammu & Kashmir;1961;12900000;3.62821204874376;1.28873997837944
Jammu & Kashmir;1962;15000000;4.12256835458815;1.41647635617241
Jammu & Kashmir;1963;13700000;3.66912156342073;1.29995227740011
Jammu & Kashmir;1964;25600000;6.68090970502609;1.89925416166358
Jammu & Kashmir;1965;25700000;6.53539673863359;1.87723305504728
Jammu & Kashmir;1966;18400000;4.55920198107237;1.51714760406049
Jammu & Kashmir;1967;31200000;7.5326306861629;2.01924434151176
Jammu & Kashmir;1968;24100000;5.66916294103471;1.73504147739422
Jammu & Kashmir;1969;25900000;5.93608645508835;1.78105007029546
Jammu & Kashmir;1970;20900000;4.66695784910854;1.54050743523813
Jammu & Kashmir;1971;29500000;6.41778706000087;1.85907336357708
Jammu & Kashmir;1972;39200000;8.31024695849201;2.11748932665586
Jammu & Kashmir;1973;55800000;11.5273953819147;2.44472640953507
Jammu & Kashmir;1974;70500000;14.1918553646622;2.65266823418653
Jammu & Kashmir;1975;73000000;14.3189027562122;2.66158053542726
Jammu & Kashmir;1976;88500000;16.9141661492875;2.82815150449302
Jammu & Kashmir;1977;110100000;20.5021060746567;3.02052761621656
Jammu & Kashmir;1978;168100000;30.4976311722438;3.41764901411336
Jammu & Kashmir;1979;172600000;30.5077004546814;3.41797912567117
Jammu & Kashmir;1980;140900000;24.2623571852911;3.1889260622456
Jammu & Kashmir;1981;176100000;29.5404794733508;3.38576150829686
Jammu & Kashmir;1982;356600000;58.3209296415062;4.0659610279284
Jammu & Kashmir;1983;290800000;46.3742785414907;3.83674496374978
Jammu & Kashmir;1984;606300000;94.2738399268138;4.54620373786387
Jammu & Kashmir;1985;474500000;71.935258570491;4.27576652798439
Jammu & Kashmir;1986;424400000;62.7283445134093;4.13881341109262
Jammu & Kashmir;1987;709100000;102.178501562577;4.62672129911101
Jammu & Kashmir;1988;261600000;36.7480168397506;3.60408426065856
Jammu & Kashmir;1989;444400000;60.854796265838;4.10849063745859
Jammu & Kashmir;1990;671400000;89.6203927639742;4.49558289189664
Jammu & Kashmir;1991;546400000;71.092042206086;4.26397540658021
Jammu & Kashmir;1992;738200000;93.5440714924062;4.53843267810274
Karnataka;1960;320700000;13.9101386823911;2.63261797586344
Karnataka;1961;449800000;19.1322222863082;2.95137394431151
Karnataka;1962;485300000;20.2082705251569;3.00609195255123
Karnataka;1963;598600000;24.3933767377326;3.19431165027635
Karnataka;1964;692100000;27.6001243261777;3.31782027728462
Karnataka;1965;803600000;31.3602643440819;3.44554162478603
Karnataka;1966;957100000;36.5498192634159;3.59867624127018
Karnataka;1967;1001700000;37.4320975696378;3.62252856014413
Karnataka;1968;1033800000;37.8017669199656;3.63235584544751
Karnataka;1969;1284300000;45.9516828591815;3.82759047183469
Karnataka;1970;1313680000;47.6142867795407;3.98771165204833
Karnataka;1971;1413858181.81818;50.9197977664745;4.10858816071585
Karnataka;1972;1514036363.63636;54.2253087534083;4.22946466938336
Karnataka;1973;1614214545.45454;57.5308197403421;4.35034117805088
Karnataka;1974;1714392727.27273;60.8363307272758;4.4712176867184
Karnataka;1975;1814570909.09091;64.1418417142096;4.59209419538591
Karnataka;1976;1914749090.90909;67.4473527011434;4.71297070405344
Karnataka;1977;2014927272.72727;70.7528636880772;4.83384721272096
Karnataka;1978;2115105454.54545;74.058374675011;4.95472372138848
Karnataka;1979;2215283636.36363;77.3638856619447;5.075600230056
Karnataka;1980;5061400000;140.195215203284;4.94303584565351
Karnataka;1981;4645700000;125.607088309432;4.83315868802632
Karnataka;1982;6293500000;166.801323363826;5.11680342372906
Karnataka;1983;7668800000;199.409478762948;5.29536039282193
Karnataka;1984;9145900000;233.317608585202;5.45240065232666
Karnataka;1985;11380900000;284.834037228218;5.65190668513627
Karnataka;1986;12208200000;299.74555437091;5.70293396267474
Karnataka;1987;12703500000;305.986113021325;5.72353971863932
Karnataka;1988;15122500000;357.330877168441;5.87866217934323
Karnataka;1989;20495700000;475.083371444559;6.16349030746366
Karnataka;1990;23104000000;525.34629903037;6.26405766234052
Karnataka;1991;28016400000;624.904423285869;6.43759871529992
Karnataka;1992;31704600000;695.732203470169;6.54496482116426
Kerala;1960;267700000;16.2526412059763;2.78825543132063
Kerala;1961;310800000;18.4547397507613;2.91532123455437
Kerala;1962;320000000;18.5667878691106;2.9213743862031
Kerala;1963;335300000;19.0063806568215;2.94477474683341
Kerala;1964;381500000;21.1268783400819;3.05054608479733
Kerala;1965;440500000;23.831839510712;3.17102248119529
Kerala;1966;534700000;28.261060529198;3.34148490412471
Kerala;1967;752400000;38.8498663335341;3.65970463622946
Kerala;1968;714100000;36.021190407276;3.58410738771022
Kerala;1969;809500000;39.8905436989942;3.68613929578167
Kerala;1970;703100000;33.8469833292415;3.52184987660533
Kerala;1971;896400000;42.155109924481;3.74135590899741
Kerala;1972;944300000;43.5982987660338;3.77501813046606
Kerala;1973;1120500000;50.8393091262299;3.9286698570517
Kerala;1974;1352000000;60.2801726117392;4.09900323725352
Kerala;1975;1443000000;63.220164419744;4.14662330753929
Kerala;1976;1660500000;71.4827208118681;4.26945575352691
Kerala;1977;1849200000;78.2167924838112;4.35948436214308
Kerala;1978;1992600000;82.8077676229358;4.41652186886236
Kerala;1979;2495000000;101.867818931197;4.62367608005763
Kerala;1980;2903000000;116.441957354407;4.75739292871902
Kerala;1981;3346100000;131.849216288983;4.88165896882246
Kerala;1982;3661000000;142.411996310436;4.95872423918263
Kerala;1983;4175500000;160.461711618235;5.07805535721512
Kerala;1984;4536800000;172.184231054782;5.1485650143672
Kerala;1985;4761000000;178.395506096922;5.18400302978896
Kerala;1986;4889200000;180.810292828948;5.19744837570131
Kerala;1987;7518600000;274.331675482551;5.61433786879222
Kerala;1988;9245300000;332.708626730595;5.80726711214603
Kerala;1989;12018200000;426.415946683353;6.05541527056545
Kerala;1990;10014600000;350.204724955743;5.85851791192447
Kerala;1991;12415400000;427.743364179475;6.05852339933689
Kerala;1992;13798400000;470.654784689012;6.1541248840714
Madhya Pradesh;1960;256000000;8.11215253686023;2.09336325052562
Madhya Pradesh;1961;308000000;9.54902556534572;2.25643911424438
Madhya Pradesh;1962;273000000;8.25874946439136;2.11127317950848
Madhya Pradesh;1963;396000000;11.6828047700066;2.4581180829908
Madhya Pradesh;1964;501000000;14.4137529643854;2.66818281776688
Madhya Pradesh;1965;524000000;14.700935557439;2.68791113512273
